dealstatus,same_sector,same_country,target_sector,acquiror_sector,deal_type,roa_target,initial_stake
1,False,False,Other,Construction,acquisition_100%,0.045451,0.0
1,True,False,Other,Other,acquisition_other%,-0.005208,0.0
1,False,False,Chemicals,Other,acquisition_other%,0.293383,0.0
0,False,False,Machinery,Other,acquisition_100%,0.149672,0.0
1,False,True,Food,Other,acquisition_other%,0.010046,0.0
0,False,False,Construction,Other,acquisition_100%,-0.00975,30.306
1,True,True,Other,Other,acquisition_100%,-0.022455,0.0
0,False,False,Chemicals,Other,acquisition_other%,0.074747,0.0
1,True,False,Other,Other,acquisition_100%,-0.225049,0.0
0,False,False,Other,Other,acquisition_100%,-0.001555,0.0
0,False,True,Wholesale,Other,acquisition_stake_increased,0.101773,36.656
1,True,True,Metals,Metals,acquisition_100%,-0.774026,17.314
0,True,True,Chemicals,Chemicals,acquisition_100%,-0.543099,5.0
1,False,False,Machinery,Other,acquisition_other%,0.097145,0.0
0,True,False,Food,Other,acquisition_100%,0.023946,17.716
1,True,False,Other,Other,acquisition_100%,0.01711,0.0
1,True,False,Other,Other,acquisition_100%,-0.017395,0.0
0,True,False,Construction,Construction,acquisition_100%,0.047171,0.0
0,True,True,Transport,Transport,acquisition_100%,-0.032072,12.4
0,True,False,Construction,Construction,acquisition_100%,-0.012686,24.953
0,False,False,Construction,Other,acquisition_100%,0.14423,0.0
1,False,True,Wholesale,Other,acquisition_other%,0.001077,0.0
1,False,True,Construction,Other,acquisition_100%,-0.00308,0.0
0,True,True,Other,Other,acquisition_100%,-0.398753,0.0
1,True,True,Primary,Primary,acquisition_100%,-0.035254,0.0
0,False,False,Wholesale,Other,acquisition_100%,0.004426,13.7
0,True,True,Other,Other,acquisition_other%,0.02031,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.049467,0.0
1,False,True,Wholesale,Metals,acquisition_100%,-0.017564,33.189
1,False,True,Construction,Gas,acquisition_other%,0.027523,0.0
1,True,True,Education,Education,acquisition_other%,0.240365,0.0
0,True,True,Construction,Construction,acquisition_100%,-0.012686,0.0
0,False,True,Construction,Other,acquisition_100%,0.045737,0.0
1,True,True,Other,Other,acquisition_100%,-15.019464,0.0
1,True,True,Other,Other,acquisition_100%,0.059762,0.0
0,False,True,Metals,Other,acquisition_100%,-0.083365,19.827
1,False,True,Construction,Other,acquisition_stake_increased,-0.001098,36.97
1,True,False,Construction,Construction,acquisition_other%,-0.017912,0.0
